iter	Passed	Remaining
402	8124	10704
403	8147	10689
404	8171	10673
405	8194	10656
406	8213	10635
407	8238	10621
408	8256	10598
409	8274	10575
410	8294	10554
411	8313	10533
412	8335	10515
413	8349	10487
414	8367	10465
415	8386	10442
416	8404	10420
417	8427	10402
418	8447	10382
419	8469	10365
420	8490	10345
421	8514	10330
422	8538	10314
423	8557	10293
424	8576	10271
425	8596	10250
426	8616	10230
427	8637	10211
428	8657	10190
429	8675	10168
430	8695	10147
431	8715	10127
432	8735	10107
433	8755	10086
434	8773	10064
435	8793	10043
436	8815	10025
437	8842	10013
438	8864	9995
439	8889	9980
440	8912	9963
441	8937	9948
442	8962	9933
443	8990	9921
444	9016	9907
445	9038	9889
446	9065	9876
447	9092	9863
448	9119	9850
449	9139	9830
450	9156	9806
451	9174	9783
452	9193	9761
453	9212	9739
454	9230	9717
455	9250	9697
456	9269	9674
457	9287	9652
458	9308	9632
459	9327	9611
460	9342	9586
461	9356	9559
462	9374	9536
463	9397	9518
464	9410	9491
465	9428	9469
466	9447	9447
467	9465	9424
468	9483	9402
469	9503	9382
470	9520	9358
471	9538	9336
472	9557	9314
473	9578	9295
474	9600	9276
475	9622	9258
476	9644	9240
477	9665	9220
478	9690	9204
479	9710	9184
480	9733	9167
481	9753	9146
482	9770	9123
483	9790	9103
484	9811	9083
485	9855	9084
486	9910	9096
487	9941	9086
488	9977	9079
489	10000	9061
490	10021	9042
491	10044	9023
492	10065	9003
493	10087	8984
494	10108	8965
495	10130	8945
496	10153	8927
497	10177	8910
498	10201	8893
499	10226	8876
500	10248	8857
501	10270	8838
502	10294	8821
503	10316	8801
504	10337	8781
505	10359	8762
506	10379	8741
507	10402	8723
508	10426	8705
509	10447	8685
510	10469	8666
511	10492	8647
512	10512	8626
513	10535	8608
514	10558	8589
515	10578	8569
516	10599	8549
517	10619	8528
518	10639	8507
519	10662	8489
520	10686	8470
521	10710	8453
522	10733	8434
523	10754	8414
524	10775	8394
525	10791	8370
526	10812	8350
527	10830	8327
528	10848	8305
529	10867	8283
530	10889	8264
531	10909	8243
532	10928	8222
533	10949	8201
534	10967	8179
535	10985	8157
536	11005	8136
537	11025	8115
538	11043	8093
539	11062	8071
540	11082	8050
541	11102	8030
542	11126	8011
543	11144	7989
544	11165	7969
545	11183	7947
546	11204	7927
547	11225	7906
548	11248	7888
549	11268	7867
550	11290	7847
551	11309	7826
552	11330	7806
553	11348	7784
554	11370	7764
555	11386	7741
556	11406	7720
557	11426	7699
558	11444	7677
559	11464	7656
560	11484	7635
561	11502	7613
562	11521	7592
563	11539	7570
564	11558	7548
565	11576	7526
566	11597	7506
567	11618	7486
568	11641	7467
569	11660	7446
570	11681	7426
571	11699	7404
572	11716	7381
573	11737	7361
574	11760	7342
575	11782	7323
576	11805	7304
577	11823	7282
578	11842	7261
579	11862	7240
580	11878	7216
581	11899	7196
582	11917	7174
583	11937	7154
584	11959	7134
585	11977	7113
586	11997	7092
587	12015	7070
588	12034	7048
589	12052	7027
590	12069	7004
591	12087	6983
592	12105	6961
593	12127	6941
594	12148	6921
595	12168	6900
596	12187	6879
597	12208	6859
598	12231	6840
599	12252	6820
600	12270	6799
601	12291	6778
602	12307	6756
603	12329	6736
604	12348	6715
605	12371	6695
606	12392	6676
607	12418	6658
608	12437	6637
609	12455	6615
610	12471	6592
611	12491	6572
612	12512	6552
613	12532	6531
614	12552	6510
615	12573	6490
616	12590	6468
617	12607	6446
618	12629	6426
619	12648	6406
620	12667	6384
621	12690	6365
622	12711	6345
623	12731	6324
624	12752	6304
625	12769	6282
626	12790	6262
627	12816	6245
628	12844	6228
629	12868	6209
630	12891	6190
631	12915	6171
632	12935	6150
633	12954	6129
634	12971	6107
635	12989	6086
636	13003	6062
637	13025	6043
638	13045	6022
639	13066	6002
